ID,Expression,Answer
1304,490+139,629
1305,920+82,1002
1306,584+459,1043
1307,590+311,901
1308,323+4,327
1309,970+517,1487
1310,867+373,1240
1311,916+883,1799
1312,484+334,818
1313,88+663,751
1314,504+568,1072
1315,247+300,547
1316,565+468,1033
1317,622+368,990
1318,627+238,865
1319,361+89,450
1320,790+53,843
1321,48+223,271
1322,694+84,778
1323,956+151,1107
1324,806+125,931
1325,242+373,615
1326,845+238,1083
1327,667+5,672
1328,247+33,280
1329,237+990,1227
1330,621+245,866
1331,756+41,797
1332,202+626,828
1333,673+552,1225
1334,37+389,426
1335,752+733,1485
1336,91+937,1028
1337,633+396,1029
1338,945+375,1320
1339,338+514,852
1340,11+235,246
1341,417+174,591
1342,791+389,1180
1343,547+677,1224
1344,91+15,106
1345,691+139,830
1346,918+808,1726
1347,114+332,446
1348,965+559,1524
1349,236+56,292
1350,97+551,648
1351,829+28,857
1352,348+208,556
1353,708+448,1156
1354,196+524,720
1355,801+126,927
1356,114+459,573
1357,149+780,929
1358,639+706,1345
1359,429+369,798
1360,239+496,735
1361,588+799,1387
1362,856+263,1119
1363,889+141,1030
1364,585+969,1554
1365,592+873,1465
1366,412+874,1286
1367,664+477,1141
1368,615+36,651
1369,155+743,898
1370,861+790,1651
1371,451+965,1416
1372,293+36,329
1373,194+812,1006
1374,81+337,418
1375,456+666,1122
1376,637+900,1537
1377,682+252,934
1378,27+993,1020
1379,814+38,852
1380,50+115,165
1381,22+481,503
1382,485+719,1204
1383,177+926,1103
1384,63+847,910
1385,465+970,1435
1386,136+441,577
1387,554+406,960
1388,29+589,618
1389,764+692,1456
1390,649+902,1551
1391,142+592,734
1392,679+906,1585
1393,968+416,1384
1394,25+771,796
1395,870+998,1868
1396,723+79,802
1397,964+707,1671
1398,960+903,1863
1399,739+894,1633
1400,528+872,1400
1401,800+279,1079
1402,583+406,989
1403,279+508,787
1404,859+969,1828
1405,199+266,465
1406,250+660,910
1407,736+760,1496
1408,759+147,906
1409,335+870,1205
1410,43+505,548
1411,819+956,1775
1412,129+889,1018
1413,116+947,1063
1414,168+183,351
1415,284+834,1118
1416,515+862,1377
1417,36+947,983
1418,721+649,1370
1419,358+369,727
1420,429+587,1016
1421,762+158,920
1422,842+996,1838
1423,677+722,1399
1424,821+340,1161
1425,348+918,1266
1426,119+712,831
1427,803+333,1136
1428,353+929,1282
1429,194+325,519
1430,713+320,1033
1431,727+30,757
1432,364+701,1065
1433,917+108,1025
1434,536+49,585
1435,194+656,850
1436,507+968,1475
1437,821+65,886
1438,847+760,1607
1439,228+229,457
1440,855+861,1716
1441,3+13,16
1442,24+194,218
1443,994+975,1969
1444,840+575,1415
1445,426+132,558
1446,660+5,665
1447,954+409,1363
1448,520+434,954
1449,940+533,1473
1450,814+681,1495
1451,828+154,982
1452,334+319,653
1453,81+53,134
1454,348+996,1344
1455,734+424,1158
1456,800+678,1478
1457,99+285,384
1458,579+143,722
1459,365+194,559
1460,144+16,160
1461,397+688,1085
1462,646+989,1635
1463,115+92,207
1464,78+166,244
1465,466+801,1267
1466,641+636,1277
1467,268+947,1215
1468,968+365,1333
1469,570+428,998
1470,308+287,595
1471,929+804,1733
1472,842+188,1030
1473,414+380,794
1474,947+659,1606
1475,782+913,1695
1476,24+813,837
1477,557+85,642
1478,938+864,1802
1479,694+791,1485
1480,389+471,860
1481,850+554,1404
1482,915+443,1358
1483,276+56,332
1484,974+320,1294
1485,140+913,1053
1486,360+599,959
1487,956+99,1055
1488,974+551,1525
1489,516+618,1134
1490,576+811,1387
1491,979+582,1561
1492,13+202,215
1493,651+969,1620
1494,153+296,449
1495,180+725,905
1496,832+688,1520
1497,891+923,1814
1498,593+765,1358
1499,119+388,507
1500,218+48,266
1501,492+656,1148
1502,727+12,739
1503,300+53,353
1504,361+24,385
1505,966+573,1539
1506,201+787,988
1507,593+71,664
1508,690+319,1009
1509,117+379,496
1510,7+899,906
1511,68+646,714
1512,698+405,1103
1513,488+922,1410
1514,774+687,1461
1515,614+672,1286
1516,290+712,1002
1517,115+542,657
1518,461+468,929
1519,599+972,1571
1520,777+572,1349
1521,352+406,758
1522,827+94,921
1523,859+193,1052
1524,463+983,1446
1525,960+961,1921
1526,658+3,661
1527,499+78,577
1528,174+679,853
1529,920+218,1138
1530,731+663,1394
1531,631+210,841
1532,933+397,1330
1533,513+326,839
1534,829+247,1076
1535,241+775,1016
1536,955+304,1259
1537,356+914,1270
1538,14+189,203
1539,460+895,1355
1540,2+154,156
1541,74+296,370
1542,179+983,1162
1543,487+48,535
1544,67+838,905
1545,713+164,877
1546,958+519,1477
1547,800+958,1758
1548,465+119,584
1549,928+377,1305
1550,493+508,1001
1551,425+652,1077
1552,557+336,893
1553,313+249,562
1554,33+907,940
1555,636+9,645
1556,30+981,1011
1557,978+150,1128
1558,942+231,1173
1559,936+731,1667
1560,249+753,1002
1561,904+513,1417
1562,692+22,714
1563,963+223,1186
1564,427+208,635
1565,952+892,1844
1566,143+459,602
1567,40+767,807
1568,873+906,1779
1569,621+393,1014
1570,983+923,1906
1571,955+680,1635
